id,order_id,product_variant_id,quantity,unit_price,line_total,sku_snapshot
"1","9","3","1","470.0948582840763","470.0948582840763","AJ5WPNTGZ8"
"2","7","5","4","334.06543394425813","1336.2617357770325","7FGJXBRCJC"
"3","18","7","3","473.5840527752948","1420.7521583258845","RIQSJRXPAC"
"4","16","10","6","124.50809322365956","747.0485593419573","4TR5GISJOO"
"5","13","9","5","462.16532564556985","2310.826628227849","ZP8ACMJMQM"
"6","10","4","1","110.0391567617034","110.0391567617034","AYSST7KMXR"
"7","7","6","9","432.6820881744315","3894.1387935698835","WE83AYB7SV"
"8","10","3","1","450.7488547734721","450.7488547734721","0NSVFBUSVO"
"9","20","8","9","86.79690436608955","781.1721392948059","VXFCFYIUGK"
"10","19","5","1","68.43152370335729","68.43152370335729","VEZMSZQPHK"
"11","4","6","4","177.68132886060187","710.7253154424075","UKDXO92UMP"
"12","3","6","4","10.553523750750704","42.21409500300282","3MKB9XBERN"
"13","1","4","7","257.9228275096765","1805.4597925677353","2V39LABUQT"
"14","1","7","5","249.61256063653272","1248.0628031826636","SO1SWTLK9M"
"15","7","5","4","471.9814215780386","1887.9256863121543","DSJEWLU3V1"
"16","2","8","9","370.69885353922797","3336.2896818530517","ZIQT5LYTXS"
"17","5","4","5","78.52695252102787","392.6347626051393","TMV4NMVZUB"
"18","5","10","4","330.5440964272765","1322.176385709106","N5FM8HTQ7Q"
"19","1","9","4","340.56471214430735","1362.2588485772294","FALWGRDPJW"
"20","19","9","9","229.08949754138513","2061.8054778724663","Y3GUURJPXA"
"21","12","7","9","335.171747629705","3016.545728667345","ZVKEXPROIF"
"22","9","4","5","32.74071225195121","163.70356125975604","BARJ0R0SXD"
"23","18","3","2","139.01140942501533","278.02281885003066","BSNYD7UT1X"
"24","7","5","10","182.22720434678504","1822.2720434678504","3V0VONFDPW"
"25","4","6","1","117.17172562597585","117.17172562597585","VLIHB0IM1I"
"26","14","1","9","469.11908310799805","4222.071747971982","L7SWGFMZ8Z"
"27","16","2","4","482.86161472260454","1931.4464588904182","W9CKURQLGJ"
"28","10","2","2","360.7739509208515","721.547901841703","2A838L4HU6"
"29","4","5","6","442.97066115287936","2657.8239669172763","3RVPFDIJE0"
"30","17","3","1","181.35236286136947","181.35236286136947","PM2BBFEH2T"
