id,order_id,customer_id,snapshot,created_at
"1","17","2","{"total":1504.7302772745431,"items":9,"payment_status":"pending"}","2021-05-20 10:06:51"
"2","19","10","{"total":785.2043893921986,"items":10,"payment_status":"pending"}","2020-11-06 22:33:18"
"3","5","1","{"total":471.51023987340335,"items":2,"payment_status":"paid"}","2021-09-13 14:38:01"
"4","7","2","{"total":938.40794203623,"items":1,"payment_status":"refunded"}","2020-03-17 02:46:15"
"5","6","4","{"total":1171.2388596790704,"items":7,"payment_status":"refunded"}","2020-07-21 12:53:56"
"6","11","7","{"total":1372.7948309161704,"items":8,"payment_status":"paid"}","2017-12-01 18:45:35"
"7","20","10","{"total":1752.0668580156432,"items":7,"payment_status":"paid"}","2018-03-17 14:01:52"
"8","10","8","{"total":322.5870382206545,"items":6,"payment_status":"refunded"}","2018-12-27 08:29:33"
"9","19","4","{"total":532.573302562499,"items":8,"payment_status":"refunded"}","2017-12-06 05:33:53"
"10","4","10","{"total":1028.923680694793,"items":3,"payment_status":"refunded"}","2018-02-21 23:23:21"
"11","19","10","{"total":1245.7659869009124,"items":3,"payment_status":"refunded"}","2019-07-26 11:53:08"
"12","11","10","{"total":1771.0115003093667,"items":6,"payment_status":"refunded"}","2019-04-07 00:30:14"
"13","18","9","{"total":1345.8005268606885,"items":5,"payment_status":"paid"}","2019-10-12 18:44:27"
"14","14","3","{"total":428.7357331923273,"items":4,"payment_status":"pending"}","2020-09-06 07:43:34"
"15","10","5","{"total":707.9437886053387,"items":4,"payment_status":"refunded"}","2017-09-03 22:39:38"
"16","15","8","{"total":478.08963871690355,"items":3,"payment_status":"paid"}","2024-06-04 07:14:53"
"17","8","7","{"total":1404.9826177983387,"items":7,"payment_status":"pending"}","2017-09-16 06:19:45"
"18","4","2","{"total":1565.233212077728,"items":7,"payment_status":"pending"}","2019-03-22 11:04:48"
"19","15","5","{"total":212.1923846019388,"items":10,"payment_status":"refunded"}","2021-08-08 18:12:52"
"20","17","2","{"total":385.5590705587783,"items":5,"payment_status":"pending"}","2024-06-11 10:04:42"
