id,product_id,sku,name,price_override,barcode,metadata,created_at
"1","5","GRTCHNJUUH","Incredible","42.75","7660470366152","{"color":"plum","size":"M","material":"Rubber"}","2016-12-20 05:20:03"
"2","3","I3XNMWD7AY","Luxurious","226.79","4236562689643","{"color":"violet","size":"S","material":"Bronze"}","2021-12-13 01:10:23"
"3","4","ASXOCMPD1C","Licensed","171.39","0578315883469","{"color":"white","size":"XS","material":"Steel"}","2023-09-21 13:41:08"
"4","2","Y5079JHLBP","Soft","172.15","5343277980767","{"color":"pink","size":"M","material":"Wooden"}","2020-07-09 11:21:02"
"5","4","9AERBQEV7Z","Awesome","333.05","8821534172243","{"color":"lavender","size":"XL","material":"Plastic"}","2017-04-28 08:58:27"
"6","4","1Y1QL2LXTP","Oriental","79.05","0458682718771","{"color":"lime","size":"XS","material":"Silk"}","2020-12-03 21:22:47"
"7","3","WEA7REH5ZO","Handcrafted","416.75","8514304278750","{"color":"azure","size":"L","material":"Granite"}","2023-09-12 13:26:15"
"8","3","IPSJT7IKPQ","Gorgeous","435.95","8530506356057","{"color":"lavender","size":"S","material":"Marble"}","2017-12-28 07:37:53"
"9","3","Z14MQVPPFK","Elegant","392.8","3914531003476","{"color":"lavender","size":"XS","material":"Silk"}","2020-04-27 00:58:00"
"10","3","YJ1FE2T363","Fantastic","327.19","2101025646390","{"color":"sky blue","size":"XS","material":"Cotton"}","2025-06-16 11:31:22"
